hint Which way is up?
title Laboratory
make 10 5 4 39
make 13 41 8 9
make 13 41 20 29
make 43 30 12 10
make 23 17 2 5
make 23 25 2 5
make 23 33 2 5
make 23 41 2 5
make 23 41 2 9
make 12 41 3 13
move 0 60 0
make 23 13 2 17
make 23 21 2 17
make 23 21 2 25
make 23 29 2 25
make 23 29 2 33
make 23 5 2 41
make 23 13 6 5
make 23 13 6 13
make 23 25 6 33
make 23 9 6 41
make 23 21 6 45
make 23 29 6 45
make 23 37 18 33
make 23 21 10 9
make 23 29 10 9
make 23 21 10 33
make 23 13 10 41
make 23 21 10 41
make 12 41 15 25
move 0 60 0
make 23 13 14 29
make 23 41 14 29
make 23 41 14 33
make 23 13 14 37
make 23 13 18 25
make 23 21 18 25
make 23 29 18 25
make 23 29 18 33
make 18 39 7 45
make 19 3 3 45
frame 2
make 23 35 6 45
