hint Pull the barrels.
make 22 41 4 25
make 21 5 4 29
make 21 13 4 29
make 21 21 4 29
make 21 29 4 29
make 21 37 4 29
make 22 41 12 25
make 21 5 12 29
make 21 13 12 29
make 21 21 12 29
make 21 29 12 29
make 21 37 12 29
make 14 5 4 21
make 14 9 4 21
make 14 13 4 21
make 14 5 4 25
make 14 9 4 25
make 14 13 4 25
make 10 29 8 25
make 3 5 0 17
make 3 13 0 17
make 3 21 0 17
make 3 29 0 17
make 3 37 0 17
make 3 5 0 25
make 3 13 0 25
make 3 21 0 25
make 3 29 0 25
make 3 37 0 25
make 9 5 4 17
make 9 13 4 17
make 9 21 4 17
make 9 29 4 17
make 9 37 4 17
make 18 1 7 21
move 0 20 0
frame 1
make 11 41 4 21
make 9 5 12 17
make 9 13 12 17
make 9 21 12 17
make 9 29 12 17
make 9 37 12 17
make 8 13 12 21
make 11 41 8 21
make 11 41 12 21
make 9 21 20 17
make 9 29 20 17
make 9 37 20 17
make 9 21 20 21
make 9 29 20 21
make 9 37 20 21
make 11 41 16 21
make 9 21 20 25
make 9 29 20 25
make 9 37 20 25
make 9 5 20 29
make 9 13 20 29
make 9 21 20 29
make 9 29 20 29
make 9 37 20 29
