hint Where is the plate?
title Laboratory
make 46 17 4 17
make 10 19 12 15
make 46 9 4 17
make 46 9 4 25
make 46 17 4 25
make 46 17 4 33
make 46 9 4 33
make 46 9 4 9
make 46 17 4 9
make 46 25 4 9
make 46 33 4 9
make 46 33 4 17
make 46 25 4 17
make 46 25 4 25
make 46 25 4 33
make 46 33 4 33
make 13 35 10 25
make 13 31 10 25
make 13 31 10 21
make 13 35 10 21
make 48 8 4 33
make 49 25 4 8
make 49 33 8 8
make 48 41 4 9
make 47 17 3 33
make 47 33 3 33
make 47 25 3 33
make 47 9 3 33
make 47 33 3 17
make 47 33 3 25
make 49 9 6 51
make 49 17 4 8
make 49 9 4 8
make 48 8 4 25
make 48 8 4 17
make 48 8 10 9
make 49 33 4 41
make 49 25 4 41
make 49 17 4 41
make 47 33 3 9
make 48 41 4 25
make 48 41 8 33
make 48 41 4 17
make 47 25 3 25
make 47 17 3 25
make 47 9 3 25
make 47 9 3 17
make 47 1 3 9
make 47 25 3 17
make 47 25 3 9
make 47 17 3 9
make 47 9 3 9
make 12 41 3 37
move 0 60 0
make 12 9 3 41
move 0 60 0
make 12 19 3 19
move 0 60 0
make 12 37 3 5
move 0 60 0
make 47 8 11 0
make 19 22 11 42
frame 2
make 48 0 8 11
make 19 8 11 -4
make 49 9 10 41
