hint One of the flowers
title Blocked passage
make 10 39 6 25
frame 2
make 26 17 4 25
make 26 17 4 29
make 26 17 4 21
make 26 13 4 21
make 26 13 4 25
make 26 13 4 29
make 26 21 4 21
make 26 21 4 25
make 26 21 4 29
make 26 13 4 33
make 26 17 4 33
make 26 21 4 33
make 26 25 4 21
make 26 25 4 25
make 26 25 4 29
make 26 25 4 33
make 29 15 12 27
make 29 23 12 21
make 29 17 12 33
make 55 25 16 17
make 4 21 2 13
make 4 13 2 21
make 4 21 2 29
make 4 37 4 21
make 4 13 2 13
make 4 13 2 29
make 4 37 4 29
make 28 39 2 19
make 4 21 2 21
make 28 13 4 17
make 28 13 8 17
make 28 21 4 17
make 28 21 4 37
make 28 13 8 37
make 28 13 4 37
make 28 21 8 17
make 28 21 8 37
make 28 23 2 39
make 27 19 4 39
make 27 19 8 39
make 4 5 4 29
make 4 5 4 21
make 4 5 4 13
make 4 29 2 29
make 4 29 2 21
make 4 29 2 13
make 28 29 4 17
make 28 29 8 17
make 28 29 8 37
make 28 29 4 37
make 18 1 5 21
frame 1
make 28 5 4 37
make 28 21 12 17
make 19 21 3 45
frame 2
make 18 45 5 21
make 5 21 2 41
make 28 35 2 39
