hint nothing but Ginko trees
title Street
make 21 21 3 43
make 21 29 3 43
make 21 21 11 43
make 21 29 11 43
make 10 39 4 7
make 18 53 3 29
frame 2
make 4 21 2 29
make 4 13 2 29
make 4 13 1 5
make 4 21 1 5
make 4 29 1 5
make 4 29 2 29
make 44 5 3 37
make 44 5 3 -3
make 44 39 3 37
make 44 29 3 -3
make 4 5 1 5
make 4 37 1 5
make 4 37 2 29
make 4 45 2 29
make 4 -3 1 5
make 4 5 2 29
make 3 45 -1 37
make 3 37 -1 37
make 3 29 -1 37
make 3 21 -1 37
make 3 13 -1 37
make 3 5 -1 37
make 3 5 -1 -3
make 3 13 -1 -3
make 3 21 -1 -3
make 3 29 -1 -3
make 3 37 -1 -3
make 3 -3 -1 -3
make 40 37 3 41
make 40 37 7 41
make 40 37 11 41
make 40 37 15 41
make 38 35 19 41
make 38 29 23 41
make 38 27 19 41
make 38 23 19 41
make 38 19 19 41
make 40 19 15 41
make 40 19 11 41
make 40 19 7 41
make 40 19 3 41
make 19 13 2 -7
frame 2
make 18 -7 2 5
frame 2
make 19 25 24 45
frame 2
make 38 31 19 41
make 38 25 23 41
make 40 33 21 41
make 40 23 21 41
